jugador;pais;posicion;equipo;liga;edad;partidos_jugados;partidos_titular;minutos_jugados;goles_sin_penalties;npxG+xA;goles;disparos;disparos_a_puerta;%_disparos_a_puerta;goles/disparo;goles/disparo_a_puerta;distancia_media_disparo;tiros_libres_lanzados;penalties_marcados;penalties_intentados;xG;npxG;npxG/Sh;G-xG;npG-xG;pases_completados;pases_intentados;%_pases_completados;valor_de_mercado
Aaron Connolly;IRL;FW;Brighton;eng Premier League;21;4;1;156;0;0,8;0;2;0;0;0;0;14,9;0;0;0;0,5;0,5;0,23;-0,5;-0,5;15;18;83,3;6000000
Aaron Cresswell;ENG;DF;West Ham;eng Premier League;31;31;31;2726;2;4,3;2;18;3;16,7;0,11;0,67;19,9;8;0;0;1,1;1,1;0,06;0,9;0,9;1641;2047;80,2;4100000
Aaron Hickey;SCO;DF;Bologna;it Serie A;19;36;34;2820;5;2,5;5;21;13;61,9;0,24;0,38;21;0;0;0;1,1;1,1;0,05;3,9;3,9;1067;1305;81,8;12833333
Aaron Lennon;ENG;MF;Burnley;eng Premier League;34;28;17;1551;2;1,6;2;12;4;33,3;0,17;0,5;19,3;0;0;0;1,1;1,1;0,09;0,9;0,9;254;384;66,1;960000
Aaron Ramsdale;ENG;GK;Arsenal;eng Premier League;23;34;34;3060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;788;1156;68,2;23571428
Aaron Ramsey;WAL;MF;Juventus;it Serie A;30;3;1;99;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;67;89,6;7000000
Aaron Wan-Bissaka;ENG;DF;Manchester Utd;eng Premier League;23;20;20;1793;0;1,1;0;5;1;20;0;0;13,5;0;0;0;0,2;0,2;0,04;-0,2;-0,2;929;1113;83,5;28875000
Aarón Escandell;ESP;GK;Granada;es La Liga;25;4;3;284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;125;57,6;1000000
Aarón Martín;ESP;DF;Mainz 05;de Bundesliga;24;28;25;2292;1;5,1;1;18;4;22,2;0,06;0,25;21,2;5;0;0;1;1;0,06;0;0;788;1117;70,5;4900000
Abdelhamid Sabiri;GER;MF,FW;Sampdoria;it Serie A;24;14;9;893;3;2,2;3;16;9;56,3;0,19;0,33;22,7;3;0;0;1,1;1,1;0,07;1,9;1,9;261;345;75,7;2642857
Abdou Diallo;SEN;DF;Paris S-G;fr Ligue 1;25;12;10;877;0;0,7;0;2;1;50;0;0;14,5;0;0;0;0,2;0,2;0,09;-0,2;-0,2;625;699;89,4;21000000
Abdou Harroui;NED;MF;Sassuolo;it Serie A;23;22;3;452;0;0,6;0;13;2;15,4;0;0;20,9;0;0;0;0,5;0,5;0,04;-0,5;-0,5;257;297;86,5;3200000
Abdoulaye Bakayoko;FRA;DF;Saint-Étienne;fr Ligue 1;18;4;4;307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;131;71;337500
Abdoulaye Bamba;CIV;DF;Angers;fr Ligue 1;31;10;4;458;0;0,2;0;1;0;0;0;0;8;0;0;0;0,1;0,1;0,11;-0,1;-0,1;148;187;79,1;675000
Abdoulaye Doucouré;MLI;MF;Everton;eng Premier League;28;30;29;2537;2;4,9;2;34;10;29,4;0,06;0,2;17,3;0;0;0;2,7;2,7;0,08;-0,7;-0,7;877;1095;80,1;21166666
Abdoulaye Sylla;GUI;DF;Nantes;fr Ligue 1;21;2;2;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;76;68,4;400000
Abdoulaye Touré;FRA;MF;Genoa;it Serie A;27;8;6;430;0;0,2;0;4;0;0;0;0;20,5;0;0;0;0,2;0,2;0,04;-0,2;-0,2;137;173;79,2;3757142
Abdourahmane Barry;FRA;DF;Greuther Fürth;de Bundesliga;21;8;1;210;0;0,2;0;1;0;0;0;0;23;0;0;0;0;0;0,04;0;0;88;115;76,5;350000
Abdu Conté;POR;DF;Troyes;fr Ligue 1;23;17;17;1347;0;2,5;0;5;1;20;0;0;16;0;0;0;0,3;0,3;0,06;-0,3;-0,3;454;615;73,8;1983333
Abdón Prats;ESP;FW;Mallorca;es La Liga;28;23;6;641;3;2,3;3;19;7;36,8;0,16;0,43;14,8;2;0;0;2;2;0,1;1;1;103;156;66;1416666
Aboubakar Sidibé;FRA;FW;Clermont Foot;fr Ligue 1;25;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;75;125000
Achraf Hakimi;MAR;DF;Paris S-G;fr Ligue 1;22;32;28;2479;4;6,8;4;21;10;47,6;0,19;0,4;16;0;0;0;2,1;2,1;0,1;1,9;1,9;1638;1834;89,3;66666666
Adam Armstrong;ENG;FW;Southampton;eng Premier League;24;23;17;1413;2;6;2;47;14;29,8;0,04;0,14;17;0;0;0;4,3;4,3;0,09;-2,3;-2,3;223;315;70,8;15714285
Adam Forshaw;ENG;MF;Leeds United;eng Premier League;29;22;17;1530;0;1,5;0;14;4;28,6;0;0;25,5;1;0;0;0,4;0,4;0,03;-0,4;-0,4;678;810;83,7;2060000
Adam Idah;IRL;FW,MF;Norwich City;eng Premier League;20;17;6;625;1;2,6;1;14;4;28,6;0,07;0,25;12,4;0;0;0;2;2;0,14;-1;-1;96;142;67,6;2583333
Adam Lallana;ENG;MF;Brighton;eng Premier League;33;24;18;1561;0;1,9;0;20;4;20;0;0;18,8;0;0;0;1,2;1,2;0,06;-1,2;-1,2;828;947;87,4;3200000
Adam Masina;MAR;DF;Watford;eng Premier League;27;15;13;1077;0;1,1;0;5;0;0;0;0;11,6;0;0;0;0,4;0,4;0,08;-0,4;-0,4;380;540;70,4;3700000
